nFID,X,Y,Class,Name,Province,City,Street
183,113.137062970436,22.1742154831545,医疗/社区医疗/诊所/卫生所,乾务卫生院马山门诊部,广东省,珠海市,x582
184,113.137103326855,22.1432793565548,交通设施/停车场/停车区,停车场,广东省,珠海市,珠峰大道
185,113.13713605903,22.1741055061492,购物/家居建材,新杰五金电器商店,广东省,珠海市,x582
186,113.13729644816,22.1996467614992,购物/批发市场/集市,常利商店,广东省,珠海市,s270
187,113.137388631918,22.1434318190074,公司企业,富山工业园管委员会,广东省,珠海市,珠峰大道
188,113.137388631918,22.1434318190074,公司企业/工商业区,珠海市富山工业园,广东省,珠海市,珠峰大道
189,113.137400766003,22.1433858631907,政府机构/机关单位,中共珠海市富山工业园委员会,广东省,珠海市,珠峰大道
190,113.137446013471,22.1801902658202,生活服务/便利店,人人欢士多,广东省,珠海市,x582
191,113.137498616334,22.1740861130001,购物/家居建材,茂源润滑油批发部,广东省,珠海市,x582
192,113.137538877792,22.1987728801169,公司企业,希友达集团,广东省,珠海市,s270
193,113.137579938094,22.1433090492229,金融/atm,交通银行ATM,广东省,珠海市,珠峰大道
194,113.137644850818,22.1740382869422,公司企业,中国联通马山综合厅,广东省,珠海市,x582
195,113.137659417578,22.1493638533817,名称标注类,丰益围,广东省,珠海市,s270
196,113.13765827378,22.1058225430726,名称标注类,益丰围,广东省,珠海市,s270
197,113.137718910917,22.1740383893245,购物/批发市场/集市,辉哥粮油店,广东省,珠海市,x582
198,113.137765011856,22.1740025078371,购物/批发市场/集市,宇文商店,广东省,珠海市,x582
199,113.137820216121,22.2001237759101,公司企业/工商业区,三村工业园,广东省,珠海市,s270
200,113.138127454893,22.1740080283298,购物/批发市场/集市,马山市场,广东省,珠海市,x582
201,113.138115460572,22.1278992917638,名称标注类,连有围,广东省,珠海市,s270
202,113.137987648041,22.1822128123865,公司企业,珠海新立电子科技公司,广东省,珠海市,x582
203,113.138031001343,22.1351119490102,名称标注类,丰裕围,广东省,珠海市,s270
204,113.138064394909,22.1817562120057,交通设施/公交车站/公交车站主点,新立科技,广东省,珠海市,x582
205,113.138055500527,22.2011724660644,公司企业/厂矿,合丰橡塑五金制品有限公司,广东省,珠海市,s270
206,113.1383585527,22.1517928148586,行政地标/村庄,沙龙村,广东省,珠海市,s270
207,113.138357130071,22.143009146778,公司企业/电信公司/中国电信,中国电信富山工业园办事处,广东省,珠海市,珠峰大道
208,113.138357130071,22.143009146778,公司企业,珠海华润热电有限公司,广东省,珠海市,珠峰大道
209,113.138394887593,22.2022853826237,公司企业,超赢线路,广东省,珠海市,s270
210,113.138469371567,22.1967776229605,公司企业/工商业区,华宇工业园,广东省,珠海市,s270
211,113.138489005487,22.2025796187429,公司企业/工商业区,凯德斯工业园,广东省,珠海市,s270
212,113.138555214687,22.1738456343106,购物/批发市场/集市,世鹏批发部,广东省,珠海市,x582
213,113.138582070883,22.2030109145779,公司企业,建科,广东省,珠海市,s270
214,113.138679314051,22.2032501566738,公司企业,创辉,广东省,珠海市,s270
215,113.138687278292,22.2033082114601,公司企业/厂矿,珠海市卓胜环保建材有限公司,广东省,珠海市,s270
216,113.138688307557,22.203274231856,公司企业,华瑞,广东省,珠海市,s270
217,113.138692307516,22.2033282328621,公司企业,高翔,广东省,珠海市,s270
218,113.138755460856,22.1738139372094,医疗/药店/药房,马山普济堂药店,广东省,珠海市,x582
219,113.138790826197,22.141527080936,名称标注类,合益围,广东省,珠海市,珠峰大道
220,113.138833663203,22.2009996303452,公司企业/厂矿,珠海市宏能电子科技有限公司,广东省,珠海市,s270
221,113.139006699577,22.1426807504704,交通设施/公交车站/公交车站主点,富山工业园,广东省,珠海市,珠峰大道
222,113.13903690483,22.1861248127213,公司企业,恒裕英发科技有限公司,广东省,珠海市,x582
223,113.139109191368,22.1994375411704,公司企业/厂矿,均裕电子有限公司,广东省,珠海市,s270
224,113.139107996756,22.2052582166627,交通设施/公交车站/公交车站主点,七星村,广东省,珠海市,s270
225,113.139141039476,22.159865892381,名称标注类,恒丰围,广东省,珠海市,s270
226,113.139170288571,22.1994877233762,公司企业,维创佳有限公司,广东省,珠海市,s270
227,113.139214279661,22.1994257345474,公司企业/厂矿,金树玩具制品有限公司,广东省,珠海市,s270
228,113.139262994809,22.1770339128784,行政地标/村庄,五山马山村,广东省,珠海市,x582
229,113.13925400861,22.1735448706072,交通设施/公交车站/公交车站主点,马山市场,广东省,珠海市,x582
230,113.139301181657,22.175159336633,生活服务/美容美发,燕芳美发屋,广东省,珠海市,x582
231,113.139302226679,22.1753334181598,政府机构/机关单位,中共乾坤镇马山村支部委员会,广东省,珠海市,x582
232,113.139366927807,22.0572205309641,餐饮/中餐馆,蚝场渔家庄园,广东省,珠海市,x582
233,113.139372250518,22.1755815573344,餐饮/中餐馆,富华食店,广东省,珠海市,x582
234,113.139410633163,22.0920925437792,餐饮/中餐馆,绿景湾庄园,广东省,珠海市,x763
235,113.139486555184,22.1739891663963,餐饮/中餐馆,鸿园食店,广东省,珠海市,x582
236,113.139473663491,22.1998503059224,公司企业/厂矿,珠海市赛纬电子材料有限公司,广东省,珠海市,s270
237,113.139508720183,22.1995421924038,公司企业,珠海市万功铝业有限公司,广东省,珠海市,s270
238,113.139555675489,22.1737481838271,金融/atm,农村信用社ATM,广东省,珠海市,x582
239,113.139555675489,22.1737481838271,金融/农村信用社/城市信用社,乾务农村信用社马山分社,广东省,珠海市,x582
240,113.139568768223,22.1736332020501,金融/农村信用社/城市信用社,农村信用合作社马山分社,广东省,珠海市,x582
241,113.139565270976,22.1570553164778,名称标注类,联丰围,广东省,珠海市,s270
242,113.139590820047,22.2002665987549,公司企业,旭登,广东省,珠海市,s270
243,113.139611294895,22.0902704007573,名称标注类,大虎二队,广东省,珠海市,x763
244,113.139706099728,22.1846393673678,公司企业,名家家居建材公司,广东省,珠海市,x582
245,113.139928939262,22.1776522364379,行政地标/村庄,马山村,广东省,珠海市,x582
246,113.139880191321,22.1736356744296,医疗/社区医疗/诊所/卫生所,马山卫生站,广东省,珠海市,x582
247,113.14004659317,22.1852401489763,公司企业/厂矿,大汇机械设备有限公司,广东省,珠海市,x582
248,113.140084300195,22.1644544286188,名称标注类,三围,广东省,珠海市,s270
249,113.140233062524,22.1430022227376,公司企业,珠海市珈禾电气设备公司,广东省,珠海市,珠峰大道
250,113.140260112818,22.1964464092735,公司企业/厂矿,远通船舶,广东省,珠海市,s270
251,113.140379887387,22.1876715244095,公司企业/厂矿,珠海市晖煌包装制品有限公司,广东省,珠海市,x582
252,113.140433356649,22.142904498352,公司企业/厂矿,珠海市珈禾电器设备有限公司,广东省,珠海市,珠峰大道
253,113.140447918804,22.0926861975982,名称标注类,大虎一队,广东省,珠海市,x763
254,113.142142778306,22.0634357428644,交通设施,金湾公路局养护中心珠港大道养护站,广东省,珠海市,x582
255,113.142133000862,22.1962913608868,公司企业,白兔瓷砖,广东省,珠海市,s270
256,113.142194837827,22.186219994213,公司企业,珠海市三元泰电子公司,广东省,珠海市,x582
257,113.142260857,22.1746168556815,生活服务/公厕,公厕,广东省,珠海市,x582
258,113.142394591735,22.1276543447308,名称标注类,裕生围,广东省,珠海市,s270
259,113.142496826761,22.1424108102864,名称标注类,蚧塘围,广东省,珠海市,珠峰大道
260,113.120800685515,22.0876002936079,名称标注类,大虎四队,广东省,珠海市,升平大道西
261,113.1210727518,22.0849581610813,交通设施/公交车站/公交车站主点,大虎四队,广东省,珠海市,升平大道西
262,113.121132446579,22.0666189047887,餐饮/中餐馆,裕家乐农庄,广东省,珠海市,x582
263,113.121209348571,22.0852928306683,行政地标/村庄,大虎四队,广东省,珠海市,升平大道西
264,113.121209348571,22.0852928306683,政府机构/各级政府/村民委员会,大虎四队村委会,广东省,珠海市,升平大道西
265,113.121205883655,22.0920126070608,行政地标/村庄,北环,广东省,珠海市,y402
266,113.123782279886,22.0709354814503,交通设施/公交车站/公交车站主点,前西一队,广东省,珠海市,x582
267,113.123831929923,22.0709139755938,行政地标/村庄,前西一队,广东省,珠海市,x582
268,113.123831929923,22.0709139755938,政府机构/各级政府/村民委员会,前西一队村委会,广东省,珠海市,x582
269,113.124518303255,22.1669046282891,公司企业/厂矿,园垦公司雷蛛垦区,广东省,珠海市,s270
270,113.124605006172,22.0712101213642,名称标注类,前西一队,广东省,珠海市,x582
271,113.124834421131,22.1832862178827,名称标注类,下新围,广东省,珠海市,
272,113.125263862249,22.0913310697677,餐饮,文德楼,广东省,珠海市,y402
273,113.125264409255,22.0913254501807,自然山,莲花山,广东省,珠海市,y402
274,113.125323993299,22.1720267868686,自然山,火烧茅顶,广东省,珠海市,s270
275,113.125465505465,22.1121015102682,名称标注类,同穗围,广东省,珠海市,
276,113.125921769054,22.0929719566654,政府机构/各级政府/村民委员会,月坑村委会,广东省,珠海市,y402
277,113.126044611281,22.1893756177714,名称标注类,上新围,广东省,珠海市,
278,113.126536663889,22.0820433295976,名称标注类,南环,广东省,珠海市,升平大道西
279,113.126608807491,22.0829157699276,宾馆,珠海松涛雅苑度假酒店,广东省,珠海市,升平大道西
280,113.127027209851,22.0899060983725,餐饮/中餐馆,松涛雅苑山庄,广东省,珠海市,y402
281,113.12735663244,22.101047027485,名称标注类,联昌围,广东省,珠海市,
282,113.12743641441,22.0936681832659,行政地标/村庄,月坑,广东省,珠海市,x763
283,113.128263630411,22.090648162223,餐饮/中餐馆,翡翠农庄,广东省,珠海市,x763
284,113.128554224847,22.1830647423709,名称标注类,保生围,广东省,珠海市,s270
285,113.129354854023,22.0881176457163,名称标注类,大虎八队,广东省,珠海市,x763
286,113.129557799566,22.1964476798705,名称标注类,大围,广东省,珠海市,s270
287,113.129616545871,22.0855939018154,行政地标/村庄,大虎八队,广东省,珠海市,升平大道西
288,113.129616545871,22.0855939018154,政府机构/各级政府/村民委员会,大虎八队村委会,广东省,珠海市,升平大道西
289,113.129649252034,22.0853084962447,交通设施/公交车站/公交车站主点,大虎,广东省,珠海市,升平大道西
290,113.130207466159,22.2219934372553,行政地标/村庄,松茄,广东省,珠海市,s270
291,113.130739347833,22.1216724792329,名称标注类,大丰围,广东省,珠海市,s270
292,113.130885570259,22.1622752752385,名称标注类,大有围,广东省,珠海市,s270
